week_ending_date,location,location_name,target,target_data_type,value
2020-09-05,72,Puerto Rico,wk inc rsv hosp,hosp,NA
2020-09-05,44,Rhode Island,wk inc rsv hosp,hosp,NA
2020-09-05,45,South Carolina,wk inc rsv hosp,hosp,NA
2020-09-05,46,South Dakota,wk inc rsv hosp,hosp,NA
2020-09-05,47,Tennessee,wk inc rsv hosp,hosp,NA
2020-09-05,48,Texas,wk inc rsv hosp,hosp,NA
2020-09-05,US,United States,wk inc rsv hosp,hosp,NA
2020-09-05,49,Utah,wk inc rsv hosp,hosp,NA
2020-09-05,51,Virginia,wk inc rsv hosp,hosp,NA
2020-09-05,50,Vermont,wk inc rsv hosp,hosp,NA
2020-09-05,53,Washington,wk inc rsv hosp,hosp,NA
2020-09-05,55,Wisconsin,wk inc rsv hosp,hosp,NA
2020-09-05,54,West Virginia,wk inc rsv hosp,hosp,NA
2020-09-05,56,Wyoming,wk inc rsv hosp,hosp,NA
2020-09-12,02,Alaska,wk inc rsv hosp,hosp,NA
2020-09-12,01,Alabama,wk inc rsv hosp,hosp,NA
2020-09-12,05,Arkansas,wk inc rsv hosp,hosp,NA
2020-09-12,04,Arizona,wk inc rsv hosp,hosp,NA
2020-09-12,06,California,wk inc rsv hosp,hosp,NA
2020-09-12,08,Colorado,wk inc rsv hosp,hosp,NA
2020-09-12,09,Connecticut,wk inc rsv hosp,hosp,NA
2020-09-12,11,District of Columbia,wk inc rsv hosp,hosp,NA
2020-09-12,10,Delaware,wk inc rsv hosp,hosp,NA
2020-09-12,12,Florida,wk inc rsv hosp,hosp,NA
2020-09-12,13,Georgia,wk inc rsv hosp,hosp,NA
2020-09-12,15,Hawaii,wk inc rsv hosp,hosp,NA
2020-09-12,19,Iowa,wk inc rsv hosp,hosp,NA
2020-09-12,16,Idaho,wk inc rsv hosp,hosp,NA
2020-09-12,17,Illinois,wk inc rsv hosp,hosp,NA
2020-09-12,18,Indiana,wk inc rsv hosp,hosp,NA
2020-09-12,20,Kansas,wk inc rsv hosp,hosp,NA
2020-09-12,21,Kentucky,wk inc rsv hosp,hosp,NA
2020-09-12,22,Louisiana,wk inc rsv hosp,hosp,NA
2020-09-12,25,Massachusetts,wk inc rsv hosp,hosp,NA
2020-09-12,24,Maryland,wk inc rsv hosp,hosp,NA
2020-09-12,23,Maine,wk inc rsv hosp,hosp,NA
2020-09-12,26,Michigan,wk inc rsv hosp,hosp,NA
2020-09-12,27,Minnesota,wk inc rsv hosp,hosp,NA
2020-09-12,29,Missouri,wk inc rsv hosp,hosp,NA
2020-09-12,28,Mississippi,wk inc rsv hosp,hosp,NA
2020-09-12,30,Montana,wk inc rsv hosp,hosp,NA
2020-09-12,37,North Carolina,wk inc rsv hosp,hosp,NA
2020-09-12,38,North Dakota,wk inc rsv hosp,hosp,NA
2020-09-12,31,Nebraska,wk inc rsv hosp,hosp,NA
2020-09-12,33,New Hampshire,wk inc rsv hosp,hosp,NA
2020-09-12,34,New Jersey,wk inc rsv hosp,hosp,NA
2020-09-12,35,New Mexico,wk inc rsv hosp,hosp,NA
2020-09-12,32,Nevada,wk inc rsv hosp,hosp,NA
2020-09-12,36,New York,wk inc rsv hosp,hosp,NA
2020-09-12,39,Ohio,wk inc rsv hosp,hosp,NA
2020-09-12,40,Oklahoma,wk inc rsv hosp,hosp,NA
2020-09-12,41,Oregon,wk inc rsv hosp,hosp,NA
2020-09-12,42,Pennsylvania,wk inc rsv hosp,hosp,NA
2020-09-12,72,Puerto Rico,wk inc rsv hosp,hosp,NA
2020-09-12,44,Rhode Island,wk inc rsv hosp,hosp,NA
2020-09-12,45,South Carolina,wk inc rsv hosp,hosp,NA
2020-09-12,46,South Dakota,wk inc rsv hosp,hosp,NA
2020-09-12,47,Tennessee,wk inc rsv hosp,hosp,NA
2020-09-12,48,Texas,wk inc rsv hosp,hosp,NA
2020-09-12,US,United States,wk inc rsv hosp,hosp,NA
2020-09-12,49,Utah,wk inc rsv hosp,hosp,NA
2020-09-12,51,Virginia,wk inc rsv hosp,hosp,NA
2020-09-12,50,Vermont,wk inc rsv hosp,hosp,NA
2020-09-12,53,Washington,wk inc rsv hosp,hosp,NA
2020-09-12,55,Wisconsin,wk inc rsv hosp,hosp,NA
2020-09-12,54,West Virginia,wk inc rsv hosp,hosp,NA
2020-09-12,56,Wyoming,wk inc rsv hosp,hosp,NA
2020-09-19,02,Alaska,wk inc rsv hosp,hosp,NA
2020-09-19,01,Alabama,wk inc rsv hosp,hosp,NA
2020-09-19,05,Arkansas,wk inc rsv hosp,hosp,NA
2020-09-19,04,Arizona,wk inc rsv hosp,hosp,NA
2020-09-19,06,California,wk inc rsv hosp,hosp,NA
2020-09-19,08,Colorado,wk inc rsv hosp,hosp,NA
2020-09-19,09,Connecticut,wk inc rsv hosp,hosp,NA
2020-09-19,11,District of Columbia,wk inc rsv hosp,hosp,NA
2020-09-19,10,Delaware,wk inc rsv hosp,hosp,NA
2020-09-19,12,Florida,wk inc rsv hosp,hosp,NA
2020-09-19,13,Georgia,wk inc rsv hosp,hosp,NA
2020-09-19,15,Hawaii,wk inc rsv hosp,hosp,NA
2020-09-19,19,Iowa,wk inc rsv hosp,hosp,NA
2020-09-19,16,Idaho,wk inc rsv hosp,hosp,NA
2020-09-19,17,Illinois,wk inc rsv hosp,hosp,NA
2020-09-19,18,Indiana,wk inc rsv hosp,hosp,NA
