location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Montana,2,0.28084134731386956,1.081076265490384,2.6560848247249624,3.17205246646764,12.2105618249861,30,0.28,1.08,2.66,3,12,30,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Nebraska,0,0.513453579317425,1.1349128829439858,1.8763486255746318,10.1248681485972,22.3795173757049,37,0.51,1.13,1.88,10,22,37,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Nebraska,1,0.4076680653314706,1.0475299558403937,1.9524168130979278,8.03886773048107,20.6564003287101,38.5,0.41,1.05,1.95,8,21,38,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Nebraska,2,0.27311762243247556,1.0016847970618918,2.104553188144519,5.38564736438935,19.752372765983,41.5,0.27,1,2.1,5,20,42,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Nevada,0,0.21742048159554347,0.5749421693409332,1.2372824448178579,6.91841756358691,18.2949185524047,39.3708841712044,0.22,0.57,1.24,7,18,39,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Nevada,1,0.14485967357469803,0.5935410157545383,1.370945753678493,4.6095,18.8867422147665,43.6241108076388,0.14,0.59,1.37,5,19,44,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
Nevada,2,0.06285266236021175,0.540283173148139,1.3057002090682626,2,17.1920536970017,41.5479682176462,0.06,0.54,1.31,2,17,42,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
New Hampshire,0,0.3596094142251598,0.9902419873089611,1.9196835977273037,5.03995111302461,13.8783107690742,26.9045,0.36,0.99,1.92,5,14,27,wk inc covid hosp,2025-04-19,2025-04-19,2025-04-16,"April 19, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
New Hampshire,1,0.25584551729038674,0.9767271811649246,2.010257210860852,3.58569283401098,13.6888998149291,28.1738955282196,0.26,0.98,2.01,4,14,28,wk inc covid hosp,2025-04-26,2025-04-19,2025-04-16,"April 26, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
New Hampshire,2,0.1315560823174019,0.8738343820897005,2.1048771072852297,1.84376770260415,12.2468500333939,29.5,0.13,0.87,2.1,2,12,30,wk inc covid hosp,2025-05-03,2025-04-19,2025-04-16,"May 03, 2025","April 16, 2025","April 19, 2025",CovidHub-ensemble
